virus.names,proteins,genome.size,genome.type,vector.borne,zoonotic,Nucleotide.records,Nucleotide.records.log,PHB.max,PHB.mean,PHB.median,PubMed.records.log,SRA.records.log
Nipah virus,9,0.018246,(-) ssRNA,No,Zoonotic,153,2.1846914308176,0.9284945,0.40447431717037,0.39496649,2.88252453795488,0
Infectious bursal disease virus,3,0.005898,dsRNA,No,Not zoonotic,3747,3.5736836930938,0.7212077,0.36914095118836,0.3745128,3.17114115102838,0
Bunyamwera orthobunyavirus,4,0.012294,(-) ssRNA,Yes,Zoonotic,138,2.13987908640124,1.4290121,0.536749109530769,0.497634,1.30102999566398,0
Colorado tick fever virus,13,0.029174,dsRNA,Yes,Zoonotic,106,2.02530586526477,1.387176,0.535086975169231,0.515235,1.8750612633917,0
Sindbis virus,4,0.011703,(+) ssRNA,Yes,Zoonotic,548,2.73878055848437,0.9612912536,0.478257305157333,0.435105095,3.33243845991561,0.301029995663981
Andes hantavirus,4,0.012104,(-) ssRNA,No,Zoonotic,434,2.63748972951251,0.7260252,0.36711403576087,0.37156725,1.57978359661681,0
Cetacean morbillivirus,7,0.015702,(-) ssRNA,No,Not zoonotic,113,2.05307844348342,0.83008904,0.245429052266667,0.23302102,1.80617997398389,0
Primate T-lymphotropic virus 1,5,0.0087675,ssRNA-RT,No,Zoonotic,6915,3.83979218444533,0.3616933,0.233148924893478,0.239749595,2.14612803567824,1.47712125471966
Alcelaphine gammaherpesvirus 1,71,0.130608,dsDNA,No,Not zoonotic,73,1.86332286012046,0.277389,0.211838699638768,0.2303700935,0.477121254719662,0
Aves polyomavirus 1,9,0.004981,dsDNA,No,Not zoonotic,181,2.25767857486918,1.1405530775,0.400837687301812,0.366019955,0.698970004336019,0
Duck atadenovirus A,30,0.033213,dsDNA,No,Not zoonotic,76,1.88081359228079,0.4212382547,0.291454892978623,0.3260052811,0.477121254719662,0
Kyasanur Forest disease virus,1,0.010685,(+) ssRNA,Yes,Zoonotic,179,2.25285303097989,1.3202858,0.678338001208696,0.623603,2,0.477121254719662
Fer-de-Lance paramyxovirus,8,0.015378,(-) ssRNA,No,Not zoonotic,15,1.17609125905568,0.8862422,0.401272203189723,0.4060423,0.903089986991944,0
Mammalian 1 bornavirus,6,0.00891,(-) ssRNA,No,Zoonotic,235,2.37106786227174,1.028406,0.570222392726407,0.5302706922,0.301029995663981,0
Mayaro virus,4,0.011411,(+) ssRNA,Yes,Zoonotic,152,2.18184358794477,0.80339337,0.545510022577922,0.5836744,2.2148438480477,0
Avian metapneumovirus,9,0.014071,(-) ssRNA,No,Not zoonotic,348,2.54157924394658,0.46952278,0.348169844383983,0.3818613282,2.28780172993023,0
European bat 1 lyssavirus,5,0.011966,(-) ssRNA,No,Zoonotic,401,2.60314437262018,0.6885825,0.443024962247619,0.470890125,0.698970004336019,0
Mammalian orthoreovirus,10,0.023176,dsRNA,No,Zoonotic,767,2.88479536394898,0.9823149,0.550068109561905,0.568594133,1.90308998699194,0
Powassan virus,1,0.010839,(+) ssRNA,Yes,Zoonotic,178,2.25042000230889,0.739043,0.494867711838095,0.5408878278,2.27646180417324,0
Whitewater Arroyo mammarenavirus,4,0.010448,(-) ssRNA,No,Zoonotic,139,2.14301480025409,0.5261547,0.307148552380952,0.29850215,0.301029995663981,0
Hantaan hantavirus,3,0.011845,(-) ssRNA,No,Zoonotic,957,2.98091193777684,0.7437659,0.409456663619474,0.39151455,0.477121254719662,0
Indiana vesiculovirus,6,0.011161,(-) ssRNA,No,Zoonotic,119,2.07554696139253,1.4725312,0.57908859966579,0.532239715,0.301029995663981,0.301029995663981
Avian paramyxovirus 2,7,0.014904,(-) ssRNA,No,Not zoonotic,47,1.67209785793572,0.6253279,0.388185202314737,0.4042552,0.954242509439325,0
Human picobirnavirus,3,0.00427,dsRNA,No,Not zoonotic,156,2.19312459835446,1.0833323,0.613855103204678,0.5822232,0.954242509439325,0
Australian bat lyssavirus,5,0.011822,(-) ssRNA,No,Zoonotic,86,1.93449845124357,0.733385,0.375505001665359,0.38092962,1.9731278535997,0
Betacoronavirus 1,12,0.031028,(+) ssRNA,No,Zoonotic,2033,3.30813737863804,2.062476,0.609900175895425,0.37152479,1.27875360095283,1.41497334797082
Chikungunya virus,3,0.011826,(+) ssRNA,Yes,Zoonotic,3583,3.55424680816611,1.0107659,0.547267920522876,0.558962,3.41043978621035,0.602059991327962
Sin Nombre hantavirus,4,0.012317,(-) ssRNA,No,Zoonotic,188,2.27415784926368,0.7511944,0.403055100854248,0.3585036,1.69019608002851,0
Tete orthobunyavirus,NA,NA,(-) ssRNA,Yes,Not zoonotic,12,1.07918124604762,0.5354017,0.362559027905263,0.3993471561,0.477121254719662,0
Avian paramyxovirus 8,8,0.015342,(-) ssRNA,No,Not zoonotic,4,0.602059991327962,0.4360874,0.280557845682353,0.33478658,2.58658730467176,0.954242509439325
Louping ill virus,1,0.010871,(+) ssRNA,Yes,Zoonotic,41,1.61278385671974,1.0314302,0.482219141976471,0.49932087,2.16435285578444,0
Orf virus,130,0.139962,dsDNA,No,Zoonotic,961,2.98272338766855,1.169044,0.322773672305882,0.2157803,2.64836001098093,0.477121254719662
Severe acute respiratory syndrome-related coronavirus,14,0.029751,(+) ssRNA,No,Zoonotic,1281,3.10754912974469,0.8923684,0.461633305176471,0.4430788345,1.04139268515823,0.477121254719662
Suid alphaherpesvirus 1,69,0.143461,dsDNA,No,Zoonotic,1125,3.05115252244738,0.6316992536,0.407629028070588,0.4155273845,0.301029995663981,1.25527250510331
Cyprinid herpesvirus 3,163,0.295146,dsDNA,No,Not zoonotic,316,2.4996870826184,0.691314,0.392772676023529,0.42311688055,2.13672056715641,1.04139268515823
Hepatovirus A,2,0.007478,(+) ssRNA,No,Zoonotic,7298,3.86320385902863,0.5233825,0.334172712716667,0.32872175,0.602059991327962,0.301029995663981
Seoul hantavirus,3,0.01195,(-) ssRNA,No,Zoonotic,1044,3.01870049866624,0.761645,0.48090155115,0.5461721,1.57978359661681,0.301029995663981
Carp sprivivirus,5,0.011019,(-) ssRNA,No,Not zoonotic,257,2.40993312333129,0.59586979,0.3729941136375,0.432082494,0.477121254719662,0
Murray Valley encephalitis virus,2,0.011014,(+) ssRNA,Yes,Zoonotic,258,2.41161970596323,1.1466642584,0.530465924868571,0.3935881,2.3096301674259,0
Phocine distemper virus,8,0.015696,(-) ssRNA,No,Not zoonotic,32,1.50514997831991,0.38758637,0.233190836666667,0.249831185,2.13353890837022,0
Alphacoronavirus 1,9,0.029355,(+) ssRNA,No,Not zoonotic,3246,3.51134851549021,0.43837816,0.316197244628571,0.35849646,1,0
Avian orthoreovirus,10,0.023494,dsRNA,No,Not zoonotic,1725,3.23678909940929,0.9924374,0.44783803503619,0.409878142,1.47712125471966,0
Avian paramyxovirus 4,6,0.015048,(-) ssRNA,No,Not zoonotic,129,2.11058971029925,0.3827889,0.174520418651429,0.1414659,2.85973856619715,0
Avian paramyxovirus 6,7,0.016236,(-) ssRNA,No,Not zoonotic,33,1.51851393987789,0.4137197,0.284806124217143,0.3419276922,0.698970004336019,0
Carnivore amdoparvovirus 1,4,0.004801,ssDNA,No,Zoonotic,606,2.78247262416629,0.5216687,0.318746657347253,0.33590887,0.477121254719662,0
Feline immunodeficiency virus,7,0.009474,ssRNA-RT,No,Not zoonotic,3077,3.48812749624746,0.3058333,0.17372586152381,0.16481,3.28012289630231,0
Feline leukemia virus,2,0.008448,ssRNA-RT,No,Not zoonotic,1189,3.07518185461869,0.2360082,0.152036142095238,0.14509379,3.09166695759568,0.301029995663981
Hendra virus,8,0.018234,(-) ssRNA,No,Zoonotic,129,2.11058971029925,0.38022207,0.174404577032967,0.1319867,2.62117628177504,0
Rinderpest virus,7,0.015882,(-) ssRNA,No,Not zoonotic,116,2.06445798922692,1.442955,0.423107834670476,0.25563083,2.67669360962487,0
Waterbird 1 bornavirus,6,0.009006,(-) ssRNA,No,Not zoonotic,61,1.78532983501077,0.41894175,0.217529232704762,0.17013756,0.301029995663981,0
Avian paramyxovirus 3,6,0.016182,(-) ssRNA,No,Not zoonotic,6,0.778151250383644,0.63718695,0.39710536038022,0.3917227,0.954242509439325,0
Epizootic hemorrhagic disease virus,10,0.019405,dsRNA,Yes,Not zoonotic,906,2.95712819767681,2.059024,0.534204015767033,0.2597775,2.36921585741014,0
Equid alphaherpesvirus 1,80,0.150224,dsDNA,No,Not zoonotic,851,2.92992956008459,0.64977196,0.426808540553846,0.4398324648,0.845098040014257,0
Macacine alphaherpesvirus 1,75,0.156789,dsDNA,No,Zoonotic,71,1.85125834871908,0.49207729,0.266355377435897,0.26448985,0.778151250383644,0
Measles virus,8,0.015894,(-) ssRNA,No,Zoonotic,12999,4.11390994375404,0.9656677276,0.435594084246154,0.409777015,3.76417613239033,1.23044892137827
Puumala hantavirus,3,0.012062,(-) ssRNA,No,Zoonotic,1565,3.19451434188247,0.6130752922,0.38156528725641,0.36582963915,2.38381536598043,0.301029995663981
Reptilian orthoreovirus,NA,NA,dsRNA,No,Not zoonotic,48,1.68124123737559,1.0765899,0.634344520879121,0.6691921,0.477121254719662,0
Bovine respiratory syncytial virus,11,0.01514,(-) ssRNA,No,Not zoonotic,359,2.55509444857832,2.059024,0.548127981476923,0.2559,2.83505610172012,0
Mucambo virus,NA,NA,(+) ssRNA,Yes,Zoonotic,28,1.44715803134222,1.0575639,0.647725345757576,0.668115295,1.14612803567824,0
African horse sickness virus,11,0.019524,dsRNA,Yes,Not zoonotic,2600,3.41497334797082,0.7759269,0.423194055187879,0.4247148174,2.45788189673399,0.477121254719662
Anatid alphaherpesvirus 1,77,0.158091,dsDNA,No,Not zoonotic,178,2.25042000230889,0.40896117,0.188647930266667,0.1698082526,0.301029995663981,0
Anopheles B orthobunyavirus,NA,NA,(-) ssRNA,Yes,Zoonotic,2,0.301029995663981,0.89560399,0.600689435636364,0.6014723,0.301029995663981,0
Human alphaherpesvirus 1,77,0.152222,dsDNA,No,Zoonotic,7971,3.90151280912994,0.6666378,0.451045398181818,0.44070413,0.845098040014257,1.90308998699194
Lumpy skin disease virus,156,0.150773,dsDNA,No,Not zoonotic,215,2.33243845991561,1.2876687,0.381877768418182,0.2141002268,2.13353890837022,0
Murine coronavirus,12,0.031028,(+) ssRNA,No,Not zoonotic,239,2.37839790094814,0.9448555,0.574856433333333,0.4321348,2.63346845557959,0
Peste-des-petits-ruminants virus,8,0.015948,(-) ssRNA,No,Not zoonotic,552,2.7419390777292,0.4716869,0.267846130084848,0.226028,2.59988307207369,0
Pike fry sprivivirus,5,0.011097,(-) ssRNA,No,Not zoonotic,6,0.778151250383644,0.5788851,0.346112372877273,0.37415418045,0.477121254719662,0
Reston ebolavirus,9,0.018891,(-) ssRNA,No,Zoonotic,26,1.41497334797082,0.9284945,0.547659732581818,0.5166345292,1.61278385671974,0
Rio Bravo virus,1,0.01014,(+) ssRNA,Yes,Zoonotic,17,1.23044892137827,0.529258,0.349128678181818,0.3654747,1,0
Santee-Cooper ranavirus,NA,NA,dsDNA,No,Not zoonotic,29,1.46239799789896,1.5461589,0.535330823183333,0.4227742,0.602059991327962,0
Zaire ebolavirus,9,0.018959,(-) ssRNA,No,Zoonotic,2242,3.35063560825895,0.5785246,0.391030347272727,0.452879,2.39445168082622,3.31449922797315
Aichivirus A,1,0.008251,(+) ssRNA,No,Zoonotic,1056,3.02366391819779,1.1965044,0.599342801111111,0.5621299,1.30102999566398,0.477121254719662
Bohle iridovirus,NA,NA,dsDNA,No,Not zoonotic,16,1.20411998265592,1.2750394819,0.618404177109091,0.4875663,1.47712125471966,0
Canine mastadenovirus A,31,0.030536,dsDNA,No,Not zoonotic,186,2.26951294421792,0.43118745,0.304003765454545,0.3436456,0.301029995663981,0
Hepatitis B virus,7,0.003182,dsDNA-RT,No,Zoonotic,92215,4.96480157059128,0.3361537,0.17508234,0.191822,4.62173696997357,2.17897694729317
Lagos bat lyssavirus,5,0.012016,(-) ssRNA,No,Not zoonotic,99,1.99563519459755,0.7258204922,0.350560742218182,0.3446614,0.477121254719662,0
Marituba orthobunyavirus,NA,NA,(-) ssRNA,Yes,Zoonotic,36,1.55630250076729,0.74258729,0.552630918146667,0.60766407,0.602059991327962,0
Una virus,NA,NA,(+) ssRNA,Yes,Zoonotic,18,1.25527250510331,1.1149956,0.676860960222222,0.6506429,0.954242509439325,0
Whataroa virus,4,0.011616,(+) ssRNA,Yes,Zoonotic,10,1,0.7982924,0.367349831333333,0.281692,0.903089986991944,0
Avian paramyxovirus 7,6,0.01548,(-) ssRNA,No,Not zoonotic,2,0.301029995663981,0.4360219,0.340079029506667,0.3843721,0.301029995663981,0
Bimiti orthobunyavirus,NA,NA,(-) ssRNA,Yes,Zoonotic,3,0.477121254719662,0.7630358,0.530795362222222,0.62906635,0.301029995663981,0
Chiropteran dependoparvovirus 1,NA,NA,ssDNA,No,Not zoonotic,51,1.70757017609794,0.9284945,0.466876797777778,0.4486355,0.301029995663981,0
Dobrava-Belgrade hantavirus,3,0.01184,(-) ssRNA,No,Zoonotic,584,2.7664128471124,0.5187428922,0.377689304933333,0.3924330922,1.20411998265592,0
Everglades virus,NA,NA,(+) ssRNA,Yes,Zoonotic,1,0,1.4332204,0.834483544444444,0.79957435,1.17609125905568,0
Gallid alphaherpesvirus 2,85,0.177874,dsDNA,No,Zoonotic,1128,3.05230909964732,0.74906678,0.310894046933333,0.299785491,0.903089986991944,0
Guama orthobunyavirus,NA,NA,(-) ssRNA,Yes,Zoonotic,9,0.954242509439325,0.78524049,0.614991768311111,0.669604145,0.845098040014257,0
Human gammaherpesvirus 4,87,0.172293,dsDNA,No,Zoonotic,8897,3.94924359056827,0.65681935,0.338124833333333,0.33270315,0.301029995663981,2.15533603746506
Macropodid alphaherpesvirus 1,76,0.140122,dsDNA,No,Not zoonotic,7,0.845098040014257,0.4530756,0.281526647328889,0.3616580922,0,0.301029995663981
Main Drain orthobunyavirus,NA,NA,(-) ssRNA,Yes,Not zoonotic,3,0.477121254719662,1.29723,0.56845079192,0.502107366,0.602059991327962,0
Manzanilla orthobunyavirus,3,0.01239,(-) ssRNA,Yes,Zoonotic,12,1.07918124604762,0.9893615,0.66886872,0.788844745,0.301029995663981,0
Mason-Pfizer monkey virus,4,0.008557,ssRNA-RT,No,Zoonotic,151,2.17897694729317,0.2481822,0.160046766666667,0.13056265,2.56348108539441,0
Oncorhynchus 1 novirhabdovirus,6,0.011131,(-) ssRNA,No,Not zoonotic,0,-Inf,0.2669906,0.135484756666667,0.1191058,0.698970004336019,0
Reticuloendotheliosis virus,3,0.008295,ssRNA-RT,No,Not zoonotic,143,2.15533603746506,0.40886193,0.259450568395556,0.25028913,2.73239375982297,0
Tacaribe mammarenavirus,4,0.010534,(-) ssRNA,No,Zoonotic,14,1.14612803567824,0.6384159,0.329361739422222,0.2654733387,0.301029995663981,0
Wesselsbron virus,1,0.010814,(+) ssRNA,Yes,Zoonotic,52,1.7160033436348,0.6430349,0.399748246577778,0.3776934598,1.60205999132796,0
Caprine gammaherpesvirus 2,NA,NA,dsDNA,No,Not zoonotic,24,1.38021124171161,1.393937,0.459732624933333,0.226569485,0,0
Chelonid alphaherpesvirus 6,NA,NA,dsDNA,No,Not zoonotic,5,0.698970004336019,0.4253431,0.2535813316,0.2560408961,0,0
Deltapapillomavirus 4,8,0.007945,dsDNA,No,Not zoonotic,328,2.51587384371168,0.391098,0.269701642444444,0.252919033,0.602059991327962,0.301029995663981
Enterovirus B,1,0.007389,(+) ssRNA,No,Zoonotic,19156,4.28230482837057,0.575756,0.342772025560714,0.30978767755,2.12057393120585,1.39794000867204
Lassa mammarenavirus,4,0.010681,(-) ssRNA,No,Zoonotic,987,2.99431715266964,0.3498897,0.239662242857143,0.2597196,0.301029995663981,2.83821922190763
Phocid alphaherpesvirus 1,NA,NA,dsDNA,No,Not zoonotic,10,1,0.3284172,0.182119702222222,0.21640525,0,0
Phocid gammaherpesvirus 2,NA,NA,dsDNA,No,Not zoonotic,6,0.778151250383644,0.3284172,0.197015213333333,0.22305833,0,0
Qalyub nairovirus,NA,NA,(-) ssRNA,No,Not zoonotic,11,1.04139268515823,0.6901557,0.419954720488889,0.3678534922,0.903089986991944,0
Sendai virus,10,0.015384,(-) ssRNA,No,Not zoonotic,207,2.31597034545692,0.5884685,0.458446893822222,0.49776013,3.57484119506338,1.47712125471966
Shuni orthobunyavirus,4,0.012135,(-) ssRNA,Yes,Zoonotic,51,1.70757017609794,0.9461639536,0.449978282757143,0.3495840118,0.301029995663981,0
Thiafora nairovirus,3,0.017907,(-) ssRNA,No,Zoonotic,10,1,0.9109821547,0.572164299517857,0.5518940268,0.301029995663981,0
Tula hantavirus,4,0.012066,(-) ssRNA,No,Zoonotic,272,2.4345689040342,0.5468055982,0.294636709192857,0.3022890482,1.64345267648619,0.301029995663981
Aquareovirus A,9,0.023015,dsRNA,No,Not zoonotic,36,1.55630250076729,1.553414,0.718869614285714,0.5376999,0.903089986991944,0
Avian paramyxovirus 9,6,0.015438,(-) ssRNA,No,Not zoonotic,8,0.903089986991944,0.3897466,0.298010813442857,0.34316399,2.50514997831991,0
Cardiovirus B,2.5,0.0080695,(+) ssRNA,No,Zoonotic,642,2.80753502806885,0.6182589,0.45569335967619,0.4889684,2.39445168082622,0
Catu orthobunyavirus,NA,NA,(-) ssRNA,Yes,Zoonotic,3,0.477121254719662,0.7630358,0.527956275238095,0.5486545,0,0
Chandipura vesiculovirus,5,0.01112,(-) ssRNA,No,Zoonotic,49,1.69019608002851,0.6915458,0.434595768457143,0.5410827,1.53147891704226,0.301029995663981
Enterovirus A,1,0.007413,(+) ssRNA,No,Zoonotic,20933,4.32083147344525,0.3355758,0.243697876190476,0.2164439,2.04921802267018,0.477121254719662
Equine torovirus,NA,NA,(+) ssRNA,No,Not zoonotic,9,0.954242509439325,0.6005089458,0.435221748664286,0.4739943461,1.17609125905568,0
Felid alphaherpesvirus 1,77,0.135797,dsDNA,No,Not zoonotic,156,2.19312459835446,0.2355622,0.156894894642857,0.14470645,0.698970004336019,0
Great Island virus,11,0.017858,dsRNA,Yes,Zoonotic,141,2.14921911265538,0.91179217,0.644248932057143,0.8110496,1.14612803567824,0
Hirame novirhabdovirus,6,0.011034,(-) ssRNA,No,Not zoonotic,15,1.17609125905568,0.5624715,0.4442656625,0.471167925,0.845098040014257,0
Junin mammarenavirus,4,0.010525,(-) ssRNA,No,Zoonotic,213,2.32837960343874,0.9372019,0.562690876190476,0.48741,0.477121254719662,0.778151250383644
Murid gammaherpesvirus 4,74,0.119451,dsDNA,No,Not zoonotic,112,2.04921802267018,0.4308246922,0.308865491264286,0.305405,0.602059991327962,0.954242509439325
Murine pneumonia virus,12,0.014885,(-) ssRNA,No,Zoonotic,32,1.50514997831991,0.5884685,0.444807815866667,0.4889684,0.954242509439325,0
Nelson Bay orthoreovirus,NA,NA,dsRNA,No,Zoonotic,30,1.47712125471966,0.23035688,0.135773527619048,0.12026458,1,0
Parainfluenza virus 5,8,0.015246,(-) ssRNA,No,Zoonotic,60,1.77815125038364,0.6915078,0.492378095047619,0.575756,2.14921911265538,0
Pegivirus A,1,0.00955,(+) ssRNA,Yes,Zoonotic,490,2.69019608002851,0.42802535,0.280354937142857,0.29291535,0.903089986991944,0
